"","X1","network","perm","aic","type"
"118",118,"M_PL_030","rds",4.00214264516441,"PH_NS"
"119",119,"M_PL_030","rds",0.00208267382160802,"PH_S"
"120",120,"M_PL_030","rds",70.0832247053284,"HP_NS"
"121",121,"M_PL_031","rds",0.0109779341326298,"HP_S"
"122",122,"M_PL_031","rds",2.3429755556524,"PH_NS"
"123",123,"M_PL_031","rds",0.000944493268016225,"PH_S"
"124",124,"M_PL_031","rds",88.7765437775878,"HP_NS"
"125",125,"M_PL_032","rds",-0.0121149883236969,"HP_S"
"126",126,"M_PL_032","rds",9.10784117777661,"PH_NS"
"127",127,"M_PL_032","rds",0.00630383766554235,"PH_S"
"128",128,"M_PL_032","rds",-36.3657879995577,"HP_NS"
"129",129,"M_PL_033","rds",0.00386129650329685,"HP_S"
"130",130,"M_PL_033","rds",5.50782170262568,"PH_NS"
"131",131,"M_PL_033","rds",0.00306474131560222,"PH_S"
"132",132,"M_PL_033","rds",18.2134667438849,"HP_NS"
"133",133,"M_PL_034","rds",0.00420798802864143,"HP_S"
"134",134,"M_PL_034","rds",15.572351368121,"PH_NS"
"135",135,"M_PL_034","rds",0.00698569552436835,"PH_S"
"136",136,"M_PL_034","rds",38.7475119057181,"HP_NS"
"137",137,"M_PL_035","rds",-0.000286823956278881,"HP_S"
"138",138,"M_PL_035","rds",11.4774306361897,"PH_NS"
"139",139,"M_PL_035","rds",0.00795412899145506,"PH_S"
"140",140,"M_PL_035","rds",-2.70917680880984,"HP_NS"
"141",141,"M_PL_036","rds",-0.0371650381740347,"HP_S"
"142",142,"M_PL_036","rds",-32.1565540492419,"PH_NS"
"143",143,"M_PL_036","rds",-0.0633725375782385,"PH_S"
"144",144,"M_PL_036","rds",-38.3047267468654,"HP_NS"
"145",145,"M_PL_037","rds",0.00836451463337484,"HP_S"
"146",146,"M_PL_037","rds",12.3466080266094,"PH_NS"
"147",147,"M_PL_037","rds",0.0124713380981497,"PH_S"
"148",148,"M_PL_037","rds",24.3382936032402,"HP_NS"
"149",149,"M_PL_038","rds",-0.00258921746293719,"HP_S"
"150",150,"M_PL_038","rds",-5.02954831220325,"PH_NS"
"151",151,"M_PL_038","rds",-0.00494960656735477,"PH_S"
"152",152,"M_PL_038","rds",-8.08090994535928,"HP_NS"
"153",153,"M_PL_039","rds",0.0161359034644262,"HP_S"
"154",154,"M_PL_039","rds",-10.4471550192058,"PH_NS"
"155",155,"M_PL_039","rds",-0.00875924664241261,"PH_S"
"156",156,"M_PL_039","rds",43.6943731350755,"HP_NS"
"157",157,"M_PL_040","rds",-0.0725620084051175,"HP_S"
"158",158,"M_PL_040","rds",-27.962011792732,"PH_NS"
"159",159,"M_PL_040","rds",-0.023797724219368,"PH_S"
"160",160,"M_PL_040","rds",-546.144041681798,"HP_NS"
"161",161,"M_PL_041","rds",-0.00926554353849582,"HP_S"
"162",162,"M_PL_041","rds",7.1572355561387,"PH_NS"
"163",163,"M_PL_041","rds",0.00586695414915525,"PH_S"
